recovery_deficit_m,exposed_area_m2,deficit_x_exposed,target
0.8,3.46,2.76,0
2.69,9.96,26.84,0
4.16,14.47,60.17,0
0.46,1.37,0.63,1
1.61,5.25,8.43,1
5.91,22.66,133.82,0
2.13,8.36,17.81,0
3.61,12.38,44.65,0
3.11,12.43,38.7,0
1.47,4.68,6.87,0
0.1,1.63,0.16,1
0.1,0.5,0.05,1
3.25,11.34,36.82,1
2.38,8.15,19.43,1
0.71,2.98,2.11,1
1.63,5.86,9.53,0
3.49,13.2,46.14,0
0.63,3.67,2.29,0
3.69,13.45,49.59,1
2.49,9.49,23.59,0
1.34,6.21,8.3,1
1.91,7.47,14.27,1
1.58,4.71,7.42,0
0.48,2.23,1.07,1
0.83,2.23,1.86,1
3.19,13.26,42.37,1
0.29,0.5,0.14,1
0.3,3.52,1.06,1
3.06,12.8,39.17,0
2.03,7.09,14.41,0
0.71,2.71,1.92,0
2.24,9.12,20.43,0
2.44,9.92,24.24,0
3.33,13.0,43.24,1
0.78,3.96,3.09,1
0.1,0.5,0.05,0
3.23,11.99,38.78,1
2.67,9.85,26.27,1
3.07,12.35,37.89,0
3.83,14.84,56.82,1
1.1,4.4,4.81,1
0.67,3.18,2.12,0
0.75,1.22,0.92,1
1.28,5.11,6.54,1
2.56,9.9,25.32,1
0.1,1.72,0.17,0
4.32,15.18,65.5,0
0.72,3.99,2.89,0
0.89,3.43,3.05,1
4.09,15.95,65.32,0
3.28,13.8,45.27,1
3.6,14.11,50.75,1
0.78,3.28,2.56,1
0.1,0.57,0.06,1
1.61,5.74,9.26,0
0.82,3.1,2.55,1
0.61,1.76,1.08,0
1.38,5.19,7.15,0
1.18,2.62,3.1,1
4.14,16.08,66.56,1
3.86,14.56,56.19,1
0.83,2.87,2.37,0
1.11,4.38,4.86,0
1.67,5.2,8.7,0
3.78,15.89,59.98,1
1.14,4.26,4.87,0
3.57,13.45,48.05,0
0.25,0.5,0.13,1
1.54,5.89,9.1,1
3.74,15.33,57.36,1
4.49,17.91,80.49,1
3.77,14.99,56.45,1
3.59,14.06,50.42,0
3.78,14.06,53.09,1
0.1,0.5,0.05,1
4.53,17.05,77.21,0
0.1,0.5,0.05,0
0.98,4.56,4.48,1
1.14,4.57,5.19,1
0.1,1.67,0.17,1
1.01,4.8,4.86,1
3.29,12.15,40.0,1
5.09,17.91,91.18,0
0.1,1.49,0.15,0
0.1,1.47,0.15,1
0.1,0.5,0.05,0
2.07,9.06,18.72,1
1.33,5.37,7.14,0
3.54,13.57,48.02,1
2.96,12.52,37.01,0
4.24,17.18,72.84,0
3.54,13.96,49.39,1
0.1,0.76,0.08,0
1.57,6.46,10.13,1
0.1,0.5,0.05,0
2.86,10.84,31.06,1
1.52,5.05,7.67,1
0.1,0.5,0.05,1
3.15,11.68,36.83,1
1.31,4.46,5.82,1
0.1,0.5,0.05,1
3.83,14.3,54.8,1
0.96,4.06,3.91,1
1.23,3.37,4.15,0
3.09,11.63,35.9,1
3.31,12.69,42.02,1
1.2,4.33,5.21,1
0.57,2.03,1.16,0
1.2,3.3,3.97,1
1.07,4.35,4.66,1
0.1,0.9,0.09,0
1.34,5.48,7.35,1
0.32,2.06,0.67,0
0.84,3.34,2.79,1
3.82,14.91,57.0,0
0.92,3.62,3.34,1
3.14,12.47,39.1,1
3.73,12.92,48.23,0
0.46,1.02,0.47,0
3.9,16.09,62.77,0
1.72,4.55,7.82,1
0.1,0.5,0.05,0
4.01,16.18,64.9,1
2.89,10.9,31.51,1
0.68,2.28,1.56,1
1.63,6.28,10.22,1
0.5,1.63,0.82,0
2.47,9.42,23.31,0
4.69,17.27,81.02,1
2.25,9.43,21.21,0
5.08,20.44,103.84,0
1.38,5.13,7.06,1
3.18,10.96,34.79,0
3.64,13.41,48.81,1
0.43,1.5,0.65,1
4.82,18.72,90.23,0
1.69,5.6,9.45,1
0.17,0.5,0.09,0
0.18,1.08,0.19,1
0.16,1.35,0.21,0
0.99,3.27,3.24,0
2.47,8.33,20.6,1
0.1,3.01,0.3,1
0.87,3.95,3.45,1
3.25,12.15,39.54,1
0.76,3.59,2.74,1
2.66,9.99,26.53,1
0.57,2.87,1.64,1
4.21,16.12,67.85,1
3.27,12.49,40.84,1
0.55,2.0,1.1,1
3.29,11.34,37.29,1
0.23,2.42,0.55,0
3.24,11.57,37.52,1
0.87,2.21,1.91,1
0.21,0.64,0.14,1
4.75,17.27,81.95,1
1.59,6.0,9.54,1
2.97,11.85,35.23,1
1.16,5.21,6.06,0
0.36,2.02,0.73,1
1.66,6.08,10.13,1
4.21,16.05,67.63,1
0.92,3.83,3.53,0
4.29,14.88,63.76,0
0.97,4.12,3.98,1
1.13,3.12,3.53,1
1.06,5.66,5.99,0
5.15,19.25,99.19,1
0.65,2.32,1.5,0
1.74,6.01,10.49,0
0.1,0.5,0.05,0
2.12,9.87,20.92,0
1.84,7.73,14.2,1
1.16,3.17,3.68,1
0.83,4.36,3.62,1
4.01,16.17,64.78,1
1.18,4.26,5.04,0
3.94,15.23,60.08,1
1.89,7.16,13.52,1
1.35,6.71,9.06,1
2.81,10.03,28.16,1
1.57,6.09,9.57,1
1.09,3.81,4.17,0
0.1,0.5,0.05,0
4.24,17.85,75.6,0
0.49,0.91,0.45,0
0.1,0.56,0.06,0
0.76,1.5,1.14,1
4.04,15.05,60.86,1
1.07,4.41,4.72,0
1.14,3.68,4.21,1
3.24,12.76,41.3,1
0.1,0.5,0.05,1
1.17,5.37,6.28,1
0.1,1.47,0.15,1
3.4,12.44,42.24,1
1.56,6.0,9.36,0
1.12,4.42,4.96,1
0.59,2.75,1.63,1
1.24,4.74,5.89,1
1.62,6.32,10.27,1
4.93,18.55,91.52,0
3.77,14.42,54.4,0
2.2,9.39,20.66,0
1.32,5.55,7.35,1
0.81,3.62,2.92,0
3.96,15.61,61.74,1
1.46,5.41,7.88,0
3.19,12.38,39.51,1
1.78,5.89,10.47,0
4.95,19.84,98.3,0
1.03,1.69,1.75,0
1.66,6.24,10.36,1
3.02,12.4,37.51,1
4.3,15.26,65.68,1
2.84,11.12,31.58,1
0.71,2.14,1.51,1
1.51,5.43,8.17,1
0.68,3.35,2.29,0
2.03,7.86,15.92,1
2.4,7.5,18.03,1
1.47,4.82,7.11,0
2.95,12.01,35.49,0
1.06,4.39,4.66,0
4.34,17.87,77.49,0
0.83,4.48,3.7,1
2.72,10.06,27.35,1
0.96,5.67,5.46,0
0.27,1.05,0.29,0
2.86,10.09,28.83,1
3.54,12.93,45.74,1
0.1,0.5,0.05,0
0.54,3.34,1.8,1
4.01,16.5,66.14,1
3.7,13.26,49.11,1
0.1,0.5,0.05,0
4.12,15.75,64.96,1
3.49,12.48,43.48,1
1.44,4.07,5.87,1
2.83,10.6,30.02,1
4.0,14.96,59.9,1
3.95,14.71,58.12,1
3.5,13.46,47.07,1
3.52,14.52,51.11,1
1.42,5.14,7.28,0
0.61,2.45,1.5,1
2.29,9.28,21.24,1
4.91,19.09,93.64,0
0.46,1.26,0.58,0
2.65,10.13,26.8,1
5.92,22.92,135.64,1
1.35,4.22,5.7,0
0.26,2.01,0.53,1
0.1,1.53,0.15,0
0.1,0.5,0.05,1
0.81,3.22,2.6,0
4.67,18.25,85.16,1
0.98,3.28,3.2,1
0.31,1.56,0.48,0
0.1,0.51,0.05,1
0.1,0.5,0.05,0
0.1,0.75,0.07,0
0.39,0.6,0.24,1
1.15,5.12,5.88,0
2.65,9.54,25.28,1
2.05,7.67,15.75,1
2.58,10.89,28.08,1
0.62,2.77,1.73,1
1.15,3.52,4.05,1
4.33,15.63,67.62,1
3.43,12.54,42.95,1
3.62,14.05,50.81,1
4.65,17.97,83.64,1
1.31,4.29,5.61,1
0.18,0.5,0.09,0
0.88,3.57,3.14,1
3.76,14.14,53.17,1
4.83,20.07,96.91,0
3.85,14.64,56.32,1
3.5,14.73,51.5,1
1.01,2.92,2.96,1
1.38,4.0,5.54,1
2.65,9.19,24.4,1
1.45,6.47,9.41,0
0.47,3.19,1.5,0
0.99,3.13,3.1,1
3.54,13.07,46.19,0
3.26,11.46,37.39,1
2.9,9.57,27.77,1
0.1,0.95,0.1,0
2.95,11.4,33.66,1
2.91,11.08,32.3,1
4.34,15.37,66.71,1
0.29,2.42,0.71,1
0.82,2.72,2.24,1
3.51,13.76,48.31,1
0.92,2.34,2.16,1
1.28,4.69,5.98,0
3.4,13.16,44.77,1
1.67,6.6,11.01,1
0.58,2.31,1.33,1
0.3,1.53,0.46,0
3.39,11.99,40.71,1
3.44,13.24,45.55,1
1.55,5.97,9.23,0
0.96,3.84,3.69,1
2.91,11.13,32.42,1
3.37,11.78,39.7,1
1.32,3.96,5.22,1
0.21,0.5,0.11,0
0.59,2.89,1.71,1
3.48,13.89,48.33,1
3.78,15.02,56.71,1
0.52,2.23,1.16,0
3.76,12.58,47.26,1
4.02,14.47,58.19,1
0.1,0.52,0.05,1
0.73,2.88,2.1,0
2.1,7.79,16.35,0
3.34,12.98,43.35,0
3.69,14.02,51.72,1
2.82,10.82,30.55,1
0.99,3.24,3.2,1
0.1,1.17,0.12,1
0.1,0.5,0.05,1
2.46,8.3,20.43,1
0.47,1.16,0.54,1
3.7,13.78,50.98,1
0.55,2.89,1.59,0
4.5,17.05,76.63,0
0.59,2.1,1.24,0
3.18,11.09,35.26,1
0.18,1.31,0.23,1
0.99,3.24,3.21,0
0.1,0.5,0.05,1
3.12,13.04,40.68,1
0.82,3.53,2.9,0
3.32,11.3,37.45,1
0.1,0.5,0.05,0
0.27,0.98,0.27,0
0.85,2.25,1.91,1
0.4,2.03,0.81,0
0.3,1.16,0.35,0
0.1,0.51,0.05,1
5.94,22.02,130.84,1
4.37,18.0,78.68,1
0.19,2.98,0.56,1
0.46,1.54,0.71,1
2.51,9.84,24.74,1
0.27,1.12,0.31,1
3.74,14.0,52.38,1
4.09,14.89,60.94,1
1.64,5.35,8.75,1
3.44,12.17,41.9,1
0.1,0.7,0.07,1
0.29,0.7,0.2,0
0.1,0.5,0.05,0
0.88,3.7,3.25,1
2.82,10.68,30.11,1
3.66,14.98,54.78,1
1.81,7.19,13.03,0
0.1,0.5,0.05,0
3.76,12.51,47.03,0
0.28,0.5,0.14,0
4.49,16.56,74.35,1
0.1,1.13,0.11,0
3.16,11.98,37.8,1
0.19,1.63,0.31,1
2.84,9.74,27.66,1
0.96,4.42,4.24,0
0.35,1.9,0.66,1
0.58,0.59,0.34,0
3.68,15.06,55.46,0
4.01,15.32,61.44,1
0.44,2.0,0.88,1
3.5,12.6,44.1,1
4.07,16.5,67.21,1
2.08,6.94,14.41,0
0.78,3.62,2.81,1
0.76,3.56,2.72,1
2.91,10.28,29.92,1
0.55,3.68,2.02,1
2.94,11.36,33.38,1
3.7,14.57,53.85,1
